Unique ID,Name,URL,Organisations,,,,Typology,Keywords / theme,Platform/Portal/Real time analysis/Tool,Description,"Primary role (data provision (access and viz), decision support, custom analytics, action maps) etc",,,,Data sources,"Level of data access (visualisation only, lin to underlying data, direct download)","Technology (open source, licenced, api, web services ertc)",,,Country,Spatial scale,Commodity data,Update frequency,Intended users,Training required for use? (capacity building),,Availability,,,,,,,,,,,,,,,,Unique ID check,
14 TTI,New Zealand government,catalogue.data.govt.nz ,New Zealand Government,,,,Data portal,Trade; New Zealand,,"Data.govt.nz helps people discover, learn and use open data easily; empowering, enabling informed decision making, and problem-solving for citizens and business alike.The Government Chief Data Steward role supports the use of data as a resource across government to help deliver better services to New Zealanders. It’s held by the Chief Executive of Stats NZ Mark Sowden.The Open Government Information and Data Programme ended in July 2020. However, this did not signal the end of the Government's committment to open data. Instead, it marked the transition from a time-boxed programme into an on-going government wide coordination of efforts, led by the Government Chief Data Steward.Data.govt.nz helps people discover and use open data; empowering decision making, and problem-solving for citizens and businesses.

Users can search for and download thousands of freely usable datasets released by New Zealand Government organisations, as well as finding out about how to use, release open data effectively.

Public sector agencies including (but not limited to) Central Government, Local Government, Crown Research Institutes and the Tertiary sector are able to adopt the free data.govt.nz catalogue service to release their open data for wide discoverability. Agencies may also reference their APIs, open source code and reports relating to the data they release on the service.",,,,,,,,,,New Zealand,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data live animals,,,,,,,,,,,14 TTI,
15 TTI,African Growth and Opportunity Act ,https://agoa.info/data.html,,,,,Data portal; Other - Statistics; Digital reports; Other - initiative/organisation; Decision-support tool,Trade,,"The AGOA.info Data Center houses key trade data relating to AGOA, and United States – Sub-Saharan Africa trade more generally. The trade data is updated periodically (usually on a monthly basis, when new data is released). ",,,,,,,,,,,USA; sub-saharan Africa; Africa,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Cameroon,,,,,,,,,,,15 TTI,
16 TTI,Trading economics,https://tradingeconomics.com/analytics/features.aspx?source=footer,,,,,Data portal; Visualisation / dashboard,Trade,,"Trading Economics provides its users with accurate information for 196 countries including historical data and forecasts for more than 20 million economic indicators, exchange rates, stock market indexes, government bond yields and commodity prices.Our data is based on official sources, not third party data providers, and our facts are regularly checked for inconsistencies.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data coffee,,,,,,,,,,,16 TTI,
17 TTI,Beef trade Dashboard AHDB,https://ahdb.org.uk/trade/tools,,,,,Digital reports; Decision-support tool,Trade,,"This dashboard shows the volume and value of beef, veal and offal that the UK and EU has imported and exported. It gives an indication of recent activity as well as the potential impacts on the domestic market. A selection of this data is available for download.",,,,,,,,,,UK/EU,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data soybeans,,,,,,,,,,,17 TTI,
18 TTI,Sheep trade Dashboard AHDB,https://ahdb.org.uk/lamb/sheep-meat-trade,,,,,Data portal,Trade,,This dashboard shows the volume and value of sheep meat and offal that the UK and EU has imported and exported. It gives an indication of recent activity as well as the potential impacts on the domestic market. A selection of this data is available for download.,,,,,,,,,,UK/EU,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term:,,,,,,,,,,,18 TTI,
19 TTI,Global Agricultural Information Network,https://apps.fas.usda.gov/GATS/default.aspx,,,,,Other - Statistics,Trade,,"Welcome to GATS, the USDA Foreign Agricultural Service's Global Agricultural Trade System. GATS includes international agricultural, fish, forest and textile products trade statistics dating from the inception of the Harmonized coding system in 1989 to present.


GATS includes international agricultural, fish, forest and textile products trade statistics dating from the inception of the Harmonized coding system in 1989 to present.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Central African Republic,,,,,,,,,,,19 TTI,
20 TTI,Comex stat,http://comexstat.mdic.gov.br/en/home,,,,,Data portal,Trade,,The Comex Stat is a system for querying and extracting data from Brazilian foreign trade. Detailed data on Brazilian exports and imports are extracted monthly from SISCOMEX and based on the declaration of exporters and importers. The raw database is also available for download.,,,,,,,,,,Brazil,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Brazil,,,,,,,,,,,20 TTI,
21 TTI,Com stat,comstat.comesa.int ,,,,,Other - Statistics; Visualisation / dashboard; Data portal,Trade,,"The COMESA Treaty provides the policy context for the development of statistics in the COMESA region. The treaty envisages a four-pronged strategy for the development of statistics namely:
A Common Market Information System - This was to be established for purposes of reviewing the functioning and development of the Common Market. Issues to be handled included data flows to the Secretariat, improvement of data collection by Member States, analysis of statistical information and timely dissemination. 
Cooperation in Statistical Development - This recognizes the importance of harmonized statistics at the regional and international level, exchange of skills among Member States, cooperation in methodological issues, data dissemination policies and the adoption of the Addis Ababa Plan of Action for Statistical Development in Africa. 
Comprehensive Information System - This was to look at the development of a trade information network that reduces information asymmetries on trade opportunities in the region.  
Depository Library - In addition to documents and printed material, databases are envisaged as important for the development of the Comprehensive Information System. ",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,21 TTI,
23 TTI,EU Open Data Portal,data.europa.eu ,European Union,,,European Union,Data portal,Trade; European Union,,The European Union Open Data Portal (EU ODP) gives you access to open data published by EU institutions and bodies. All the data you can find via this catalogue are free to use and reuse for commercial or non-commercial purposes.,,,,,,,,,,European Union,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data wildlife,,,,,,,,,,,23 TTI,
24 TTI,National centre for statistics and information,data.gov.om ,National Centre For Statistics & Information Sultanate of Oman,,,,Data portal,Trade; Oman,,"Data portal is a free and data-sharing portal where anyone can access data relating to the Sultanate of Oman. The Data Portal provides many datasets from different entities, for everyone - citizen, investor, researcher or developer.",,,,,,,,,,Oman,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Gabon,,,,,,,,,,,24 TTI,
25 TTI,data.gov.uk ,data.gov.uk ,UK Govt,,,,Data source,Trade,,"Find data published by central government, local authorities and public bodies to help you build products and services. Since 2010 data.gov.uk has been helping people to find and use open government data, and supporting government publishers to maintain data. In March 2018, we re-designed the site and launched the Find open data service.

What’s on Find open data
You can find:

data published by central government, local authorities and public bodies
links to download data files
help on creating an account to publish data",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data animal skins,,,,,,,,,,,25 TTI,
27 TTI,Direction of Trade statistics,data.imf.org ,IMF,,,IMF,Data portal; Other - Statistics,Trade,,"The IMF publishes a range of time series data on IMF lending, exchange rates and other economic and financial indicators. Manuals, guides, and other material on statistical practices at the IMF, in member countries, and of the statistical community at large are also available.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data China,,,,,,,,,,,27 TTI,
29 TTI,Intercontinental exchange,https://www.theice.com/index,Intercontinental Exchange,,,,Data services,Trade; Stock exchange,,"We operate regulated marketplaces, including the New York Stock Exchange, for the listing, trading and clearing of a broad array of derivatives contracts and financial securities across major asset classes. Our comprehensive data services offering supports the trading, investment, risk management and connectivity needs of customers around the world and across asset classes. As a leading technology provider for the U.S. residential mortgage industry, ICE Mortgage Technology provides the technology and infrastructure to transform and digitize U.S. residential mortgages, from application and loan origination through to final settlement.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data coffee,,,,,,,,,,,29 TTI,
31 TTI,data.world ,data.world ,,,,,Data services,Trade,,"data.world makes it easy for everyone—not just the “data people”—to get clear, accurate, fast answers to any business question. Our cloud-native data catalog maps your siloed, distributed data to familiar and consistent business concepts, creating a unified body of knowledge anyone can find, understand, and use. data.world is home to the world’s largest collaborative data community, which is free and open to the public. It’s where people discover data, share analysis, and team up on everything from social bot detection to award-winning data journalism. We use what we learn from this community to improve the enterprise product and vice versa.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Cameroon,,,,,,,,,,,31 TTI,
32 TTI,World Bank databank and World bank opendata,data.worldbank.org ,World Bank,,,,Data portal,Trade,,"Free and open access to global development data. At the World Bank, the Development Data Group coordinates statistical and data work and maintains a number of macro, financial and sector databases. Much of the data comes from the statistical systems of member countries.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data coffee,,,,,,,,,,,32 TTI,
33 TTI,WTO Data Portal,data.wto.org,World Trade Organisation,,,World Trade Organisation,Data portal,Trade,,"The compilation of international merchandise trade statistics relies principally on customs records
complemented, as appropriate, by additional sources to enhance their coverage (for instance, to
include electricity, or trade in vessels and aircrafts). These statistics essentially reflect the physical
movement of goods across borders.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data animal skins,,,,,,,,,,,33 TTI,
34 TTI,TRAINS,https://databank.worldbank.org/reports.aspx?source=UNCTAD-~-Trade-Analysis-Information-System-%28TRAINS%29,,,,,Database,Trade,,"The UNCTAD Trade Analysis Information System (TRAINS) is a comprehensive computerized information system at the HS-based tariff line level (HS 6-digit). 

The database provides data on trade control measures, including:
•Tariffs
•Para-tariffs
•Non-tariff measures
•Imports by suppliers at HS 6-digit level",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data live animals,,,,,,,,,,,34 TTI,
35 TTI,United States International Trade Commission,dataweb.usitc.gov,,,,,Data portal,Trade,,"Independent, nonpartisan, quasi-judicial federal agency that fulfills a range of trade-related mandates. Provide high-quality, leading-edge analysis of international trade issues to the President and the Congress.",,,,,,,,,,USA,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data animal skins,,,,,,,,,,,35 TTI,
36 TTI,I.Stat,dati.istat.it ,,,,,Data source,Trade,,Misc,,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data live animals,,,,,,,,,,,36 TTI,
37 TTI,Directorate General of Commercial Intelligence and Statistics,dgciskol.gov.in,,,,,Data portal,Trade,,"The DGCI&S compiles and releases monthly export & import data on merchandise trade.It also compiles and releases yearly data on inter-state movement of goods in India by river, rail & air; customs & excise revenue collections of the Indian union, inland coasting trade consignments of India and foreign coastal cargo movements of India.",,,,,,,,,,India,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data bamboo,,,,,,,,,,,37 TTI,
38 TTI,Democratic Republic of the Congo data portal,drcongo.opendataforafrica.org ,The African Development Bank,,,The African Development Bank,Data portal,Trade; Democratic Republic of Congo,,,,,,,,,,,,Democratic Republic of Congo,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Democratic republic of Congo,,,,,,,,,,,38 TTI,
